task,gender,gender-input,age,tech-level,edu-level,s_social_skills,s_creativity,d_effort,d_expertise,d_abilities,r_accountable,r_uncertainty,r_impact,t_machine_ability,t_process,t_values,label
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",male,,26-35,5,5,2,2,4,2,5,3,4,2,5,2,5,2
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",female,,26-35,3,4,4,4,5,4,4,4,4,5,4,4,4,2
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",male,,26-35,4,5,4,4,4,4,5,4,5,5,2,4,2,4
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",female,,26-35,5,3,4,3,4,3,4,4,4,4,4,4,3,3
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",female,,18-25,4,5,2,3,2,2,4,4,3,2,4,4,4,2
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",male,,26-35,5,5,5,3,4,3,5,3,4,5,3,4,3,3
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",female,,46-55,3,5,5,4,4,5,5,5,4,5,1,5,1,3
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",male,,18-25,5,5,5,5,5,5,5,5,5,5,2,5,2,3
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",female,,26-35,4,5,2,2,3,4,4,4,3,4,3,4,3,3
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",female,,26-35,5,2,4,4,4,4,4,3,3,3,4,4,4,4
Helping to locate a missing child by searching public spaces,female,,26-35,4,4,5,5,5,1,5,3,1,5,1,1,1,3
Helping to locate a missing child by searching public spaces,male,,26-35,3,5,4,3,4,4,4,3,4,4,4,4,4,3
Helping to locate a missing child by searching public spaces,male,,46-55,4,5,5,5,5,4,5,3,5,5,2,4,3,3
Helping to locate a missing child by searching public spaces,male,,26-35,3,3,4,4,4,2,4,3,3,5,2,3,3,3
Helping to locate a missing child by searching public spaces,male,,18-25,5,3,1,5,5,3,5,1,5,5,1,1,2,4
Identifying and flagging fake/deceptive news articles,blank,,blank,5,blank,4,2,2,2,5,5,1,1,3,4,2,2
Identifying and flagging fake/deceptive news articles,female,,56-65,4,3,2,2,4,3,5,3,4,2,3,5,3,2
Identifying and flagging fake/deceptive news articles,male,,26-35,5,5,4,5,5,5,4,4,2,3,3,4,3,2
Identifying and flagging fake/deceptive news articles,female,,26-35,3,3,3,3,3,3,3,3,4,4,3,5,3,2
Identifying and flagging fake/deceptive news articles,female,,56-65,4,3,2,2,3,3,5,3,2,2,2,5,2,3
Identifying and flagging online hate speech,male,,26-35,4,5,4,3,5,4,2,2,4,2,1,5,2,2
Identifying and flagging online hate speech,female,,46-55,4,5,4,2,3,2,4,3,4,4,4,3,4,2
Identifying and flagging online hate speech,male,,36-45,5,1,5,4,4,5,4,5,4,5,4,5,5,2
Identifying and flagging online hate speech,male,,26-35,4,5,4,4,4,4,4,4,4,4,4,4,4,2
Identifying and flagging online hate speech,male,,26-35,4,5,4,4,4,3,5,3,3,2,2,4,2,3
Identifying people who attended a political rally,female,,56-65,3,5,4,2,4,2,4,4,2,1,2,4,2,3
Identifying people who attended a political rally,female,,46-55,1,5,3,2,3,3,3,4,4,4,4,4,4,4
Identifying people who attended a political rally,female,,46-55,3,3,2,2,5,2,3,2,2,2,5,4,3,1
Identifying people who attended a political rally,male,,18-25,4,5,4,3,3,2,3,4,3,4,3,2,3,3
Identifying people who attended a political rally,male,,56-65,2,4,4,4,3,4,5,4,3,3,4,4,4,2
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",female,,36-45,4,5,4,2,2,3,4,3,2,2,2,2,2,4
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",male,,36-45,3,4,4,3,3,4,3,4,3,4,2,4,2,3
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",male,,56-65,4,5,5,2,4,4,4,5,4,2,1,5,1,3
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",female,,56-65,3,4,4,4,3,3,4,2,3,3,3,5,3,3
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",female,,36-45,3,5,4,3,4,4,4,4,3,2,3,4,3,3
"In court, determining a defendant's risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",female,,46-55,4,5,3,3,5,4,5,4,3,5,2,5,3,3
"In court, determining a defendant's risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",female,,26-35,4,5,5,4,5,5,5,5,5,5,1,1,1,4
"In court, determining a defendant's risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",female,,26-35,4,5,4,2,5,4,4,4,4,4,3,5,3,3
"In court, determining a defendant's risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",female,,46-55,4,5,5,4,2,3,4,5,3,5,2,5,2,4
"In court, determining a defendant's risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",female,,26-35,4,5,2,2,5,4,4,4,2,4,4,2,4,2
Inferring damage for insurance purposes after a car accident,male,,46-55,5,5,2,2,4,4,4,4,4,4,2,4,2,3
Inferring damage for insurance purposes after a car accident,female,,26-35,4,5,1,1,4,4,4,5,4,5,5,5,4,2
Inferring damage for insurance purposes after a car accident,male,,26-35,2,5,3,4,5,5,4,5,3,4,4,4,4,3
Inferring damage for insurance purposes after a car accident,male,,26-35,1,3,3,3,4,5,4,4,4,3,4,4,4,2
Inferring damage for insurance purposes after a car accident,male,,26-35,3,5,4,4,5,4,4,4,4,4,4,4,4,3
Interviewing job applicants and rating candidates,female,,26-35,4,4,4,3,3,2,4,2,4,2,2,4,2,3
Interviewing job applicants and rating candidates,female,,36-45,3,5,5,2,4,4,4,5,5,4,4,3,2,3
Interviewing job applicants and rating candidates,male,,56-65,3,2,4,4,4,4,5,4,4,4,1,4,2,4
Interviewing job applicants and rating candidates,female,,18-25,4,3,5,1,4,4,5,4,4,4,2,4,2,3
Interviewing job applicants and rating candidates,other,Non-binary,26-35,3,3,5,4,4,4,5,3,4,3,3,5,1,4
Managing your personal finances/investments (similar to what a financial advisor might do),female,,18-25,4,3,3,2,3,4,4,4,3,4,2,3,3,3
Managing your personal finances/investments (similar to what a financial advisor might do),male,,46-55,3,3,4,4,2,4,4,5,4,5,4,5,4,3
Managing your personal finances/investments (similar to what a financial advisor might do),male,,26-35,3,5,4,4,5,5,4,5,4,5,3,5,3,3
Managing your personal finances/investments (similar to what a financial advisor might do),male,,36-45,5,5,4,4,5,4,4,5,4,4,2,4,3,3
Managing your personal finances/investments (similar to what a financial advisor might do),female,,26-35,5,5,5,4,4,5,5,5,3,5,1,4,2,3
"Monitoring a person's driving and intervening when they're distracted/in danger of making a mistake (e.g., emergency braking)",male,,26-35,4,2,2,4,4,4,4,4,4,5,1,2,2,3
"Monitoring a person's driving and intervening when they're distracted/in danger of making a mistake (e.g., emergency braking)",male,,18-25,4,5,1,4,2,3,4,5,5,5,4,5,4,3
"Monitoring a person's driving and intervening when they're distracted/in danger of making a mistake (e.g., emergency braking)",male,,36-45,5,4,5,3,3,4,5,5,5,5,2,5,1,3
"Monitoring a person's driving and intervening when they're distracted/in danger of making a mistake (e.g., emergency braking)",female,,36-45,4,3,2,4,2,2,2,3,2,4,4,2,3,2
"Monitoring a person's driving and intervening when they're distracted/in danger of making a mistake (e.g., emergency braking)",female,,36-45,5,3,4,5,2,4,3,5,5,5,2,4,2,3
"Monitoring farm animals' (e.g., cows) behavior, predicting health issues, and alerting the farmer.",male,,18-25,4,5,2,1,4,2,2,2,4,4,4,2,4,1
"Monitoring farm animals' (e.g., cows) behavior, predicting health issues, and alerting the farmer.",male,,26-35,3,3,2,4,4,4,4,4,5,4,3,4,3,3
"Monitoring farm animals' (e.g., cows) behavior, predicting health issues, and alerting the farmer.",female,,36-45,3,3,2,1,3,4,5,3,4,3,5,5,5,2
"Monitoring farm animals' (e.g., cows) behavior, predicting health issues, and alerting the farmer.",male,,26-35,5,5,4,5,5,5,5,4,5,4,2,4,1,3
"Monitoring farm animals' (e.g., cows) behavior, predicting health issues, and alerting the farmer.",female,,26-35,4,5,2,1,5,4,4,4,3,3,5,5,4,2
Monitoring your health and alerting when you should go to the doctor,male,,26-35,5,5,2,2,4,5,5,5,4,5,3,2,4,3
Monitoring your health and alerting when you should go to the doctor,male,,36-45,4,5,4,3,2,5,4,5,3,4,4,5,4,2
Monitoring your health and alerting when you should go to the doctor,female,,46-55,4,5,2,1,2,4,4,4,3,4,4,3,4,2
Monitoring your health and alerting when you should go to the doctor,female,,26-35,3,5,2,1,4,4,4,2,3,5,5,3,5,2
Monitoring your health and alerting when you should go to the doctor,female,,46-55,3,3,5,5,5,5,5,5,5,5,5,5,5,2
Moving & packing merchandise in a warehouse for shipping to customers,male,,46-55,4,5,2,2,4,2,4,2,2,2,5,2,5,2
Moving & packing merchandise in a warehouse for shipping to customers,female,,36-45,3,5,1,1,3,1,4,5,2,2,5,1,5,1
Moving & packing merchandise in a warehouse for shipping to customers,female,,36-45,5,5,3,3,3,5,5,5,5,5,3,3,3,2
Moving & packing merchandise in a warehouse for shipping to customers,male,,26-35,1,5,4,4,2,2,4,4,3,2,3,4,3,3
Moving & packing merchandise in a warehouse for shipping to customers,female,,26-35,4,3,1,2,4,2,5,4,2,1,5,2,4,3
Picking a movie to watch,male,,18-25,4,3,1,1,1,1,1,1,1,1,5,1,5,1
Picking a movie to watch,female,,26-35,3,3,1,1,2,1,4,2,1,1,4,4,3,2
Picking a movie to watch,male,,56-65,3,4,2,2,2,2,4,2,2,2,3,2,4,3
Picking a movie to watch,male,,56-65,3,3,2,2,3,2,4,1,2,1,4,3,4,2
Picking a movie to watch,male,,26-35,5,2,4,2,4,1,2,4,4,2,2,4,5,1
Picking a movie to watch with a group of friends,male,,26-35,4,5,4,2,1,2,4,1,3,1,4,3,4,3
Picking a movie to watch with a group of friends,female,,36-45,3,3,5,2,1,1,5,1,1,1,2,4,2,4
Picking a movie to watch with a group of friends,male,,26-35,5,4,4,3,2,2,5,4,2,4,5,4,5,2
Picking a movie to watch with a group of friends,male,,26-35,2,5,4,4,2,1,5,2,3,2,4,4,4,3
Picking a movie to watch with a group of friends,male,,26-35,4,3,4,2,2,4,4,2,4,1,3,4,4,3
Picking a topic to write a short story about,female,,26-35,3,3,4,4,2,2,5,3,2,1,3,3,3,4
Picking a topic to write a short story about,male,,46-55,4,2,2,2,1,2,4,2,1,1,4,2,1,3
Picking a topic to write a short story about,male,,56-65,3,5,2,4,2,2,4,2,2,1,2,4,2,3
Picking a topic to write a short story about,female,,36-45,3,5,5,5,5,4,4,4,4,4,2,4,2,3
Picking a topic to write a short story about,female,,26-35,4,5,2,4,5,2,5,3,4,2,1,1,1,3
Picking jobs to apply to,male,,26-35,4,3,4,3,2,2,4,3,2,2,4,3,4,3
Picking jobs to apply to,male,,26-35,4,5,4,3,2,4,3,4,3,4,4,3,3,1
Picking jobs to apply to,male,,36-45,4,5,4,3,5,3,4,4,2,3,3,4,3,3
Picking jobs to apply to,male,,26-35,5,5,4,4,4,2,4,2,2,2,3,1,4,2
Picking jobs to apply to,male,,26-35,5,3,5,3,5,3,3,5,4,3,2,5,3,3
Picking out and buying a birthday present for an acquaintance,female,,46-55,4,5,4,4,2,2,5,1,2,3,4,4,4,3
Picking out and buying a birthday present for an acquaintance,female,,26-35,4,3,5,4,3,1,4,3,4,2,2,4,3,3
Picking out and buying a birthday present for an acquaintance,female,,46-55,3,5,4,3,2,2,5,2,3,1,3,4,3,3
Picking out and buying a birthday present for an acquaintance,male,,36-45,4,3,4,4,3,3,4,3,3,3,4,4,4,4
Picking out and buying a birthday present for an acquaintance,male,,36-45,5,2,5,5,4,3,5,4,3,1,2,3,1,4
Picking songs to listen to,male,,26-35,5,2,1,5,2,3,5,3,3,1,4,5,5,3
Picking songs to listen to,female,,26-35,3,4,4,5,2,2,4,1,1,1,1,1,1,4
Picking songs to listen to,male,,36-45,3,3,2,2,5,4,4,3,2,4,4,4,4,3
Picking songs to listen to,female,,36-45,1,4,4,5,2,2,4,4,3,2,4,3,4,3
Picking songs to listen to,male,,36-45,4,5,4,2,2,1,5,1,3,1,5,2,4,1
Picking which advertisements to show to people on social media websites,male,,18-25,4,5,2,1,4,2,5,2,4,1,5,3,5,1
Picking which advertisements to show to people on social media websites,female,,66-75,3,5,5,5,3,5,5,5,2,3,5,4,3,2
Picking which advertisements to show to people on social media websites,female,,46-55,4,5,5,5,4,4,4,3,4,2,2,4,1,3
Picking which advertisements to show to people on social media websites,female,,26-35,4,5,4,3,4,2,4,2,2,1,4,2,4,2
Picking which advertisements to show to people on social media websites,female,,26-35,5,5,4,4,4,4,4,3,4,3,3,3,4,3
Picking which news stories to show to people on social media websites,female,,26-35,4,5,4,3,2,1,4,3,2,1,4,1,3,2
Picking which news stories to show to people on social media websites,female,,26-35,4,5,4,3,3,4,5,3,4,2,3,5,2,3
Picking which news stories to show to people on social media websites,male,,36-45,4,3,2,2,1,2,4,2,1,1,5,4,4,1
Picking which news stories to show to people on social media websites,male,,26-35,5,5,2,1,2,2,4,1,2,1,4,2,4,1
Picking which news stories to show to people on social media websites,male,,26-35,4,3,5,5,5,5,5,5,1,1,1,5,1,3
Planning menus and developing recipes at a restaurant,male,,26-35,3,5,3,5,4,4,5,4,5,5,4,5,3,2
Planning menus and developing recipes at a restaurant,male,,46-55,5,4,2,4,4,2,5,3,1,1,3,1,2,3
Planning menus and developing recipes at a restaurant,female,,26-35,5,3,4,5,5,5,5,5,5,3,1,2,1,4
Planning menus and developing recipes at a restaurant,male,,26-35,1,4,3,4,3,3,4,4,3,3,4,3,4,3
Planning menus and developing recipes at a restaurant,female,,46-55,2,5,4,4,4,3,4,4,2,2,4,4,4,3
"Playing a board game (e.g., Monopoly, Scrabble)",female,,26-35,3,5,3,4,4,2,3,3,2,2,3,3,2,3
"Playing a board game (e.g., Monopoly, Scrabble)",female,,18-25,4,5,2,2,2,2,4,2,2,1,4,2,4,1
"Playing a board game (e.g., Monopoly, Scrabble)",female,,36-45,4,5,4,5,5,3,4,3,2,1,4,4,4,3
"Playing a board game (e.g., Monopoly, Scrabble)",female,,26-35,3,5,4,4,4,2,4,2,2,1,4,4,3,3
"Playing a board game (e.g., Monopoly, Scrabble)",female,,26-35,3,5,2,2,2,2,4,2,3,2,4,2,3,1
"Playing a competitive game (e.g., poker, Starcraft, Dota2)",female,,26-35,3,5,2,3,3,2,4,2,2,2,4,3,3,1
"Playing a competitive game (e.g., poker, Starcraft, Dota2)",female,,26-35,3,5,2,2,4,4,4,2,2,1,5,2,3,3
"Playing a competitive game (e.g., poker, Starcraft, Dota2)",female,,26-35,4,3,2,2,4,2,4,2,2,2,4,4,4,1
"Playing a competitive game (e.g., poker, Starcraft, Dota2)",female,,26-35,3,3,5,5,5,5,5,4,5,5,5,5,5,1
"Playing a competitive game (e.g., poker, Starcraft, Dota2)",male,,26-35,4,5,4,4,5,5,4,4,3,1,2,3,2,3
Predicting the sale value of a real estate property,female,,56-65,4,5,4,5,3,5,4,4,5,4,4,5,4,2
Predicting the sale value of a real estate property,male,,26-35,4,3,2,2,5,5,5,5,4,5,2,4,2,3
Predicting the sale value of a real estate property,female,,26-35,4,5,2,2,3,4,4,4,2,1,2,4,2,3
Predicting the sale value of a real estate property,female,,26-35,4,5,2,3,4,5,3,3,5,5,3,4,3,2
Predicting the sale value of a real estate property,male,,26-35,3,5,2,2,4,3,5,5,3,4,3,5,3,3
Predicting the sexual orientation of a person,male,,26-35,5,3,2,3,2,2,4,4,3,2,4,4,4,3
Predicting the sexual orientation of a person,female,,26-35,3,4,4,3,2,2,4,2,2,2,4,5,4,3
Predicting the sexual orientation of a person,female,,66-75,4,5,1,1,1,1,1,1,1,1,1,1,1,4
Predicting the sexual orientation of a person,male,,36-45,5,3,5,5,5,5,5,5,5,3,5,5,5,1
Predicting the sexual orientation of a person,female,,46-55,3,4,2,3,2,2,4,2,2,3,3,2,3,3
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",male,,36-45,3,5,4,2,3,5,5,5,4,5,1,5,2,3
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",female,,26-35,4,3,5,4,4,5,4,5,4,5,2,4,3,3
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",male,,46-55,4,5,5,4,4,4,5,5,5,4,3,3,3,3
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",male,,36-45,5,5,5,3,4,5,5,5,3,4,4,4,4,3
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",female,,36-45,4,3,5,4,4,5,5,4,5,5,2,4,2,3
Reading bedtime stories to your child,male,,26-35,4,5,4,3,4,2,4,1,2,3,4,5,4,4
Reading bedtime stories to your child,male,,36-45,5,3,2,4,4,1,4,2,2,1,4,3,4,2
Reading bedtime stories to your child,female,,26-35,4,5,5,5,4,2,5,4,2,2,4,5,4,3
Reading bedtime stories to your child,female,,56-65,3,4,4,4,3,2,4,4,4,3,3,4,3,4
Reading bedtime stories to your child,female,,18-25,4,3,2,2,4,2,4,2,2,2,4,4,4,3
"Responding to 911-police incident reports, similar to what a patrol officer might do",female,,18-25,3,3,4,3,3,5,4,5,5,5,3,3,3,3
"Responding to 911-police incident reports, similar to what a patrol officer might do",female,,46-55,5,3,1,5,5,5,5,5,5,5,1,5,3,3
"Responding to 911-police incident reports, similar to what a patrol officer might do",male,,26-35,5,4,4,4,5,4,4,5,3,3,3,4,3,3
"Responding to 911-police incident reports, similar to what a patrol officer might do",female,,18-25,3,3,5,5,5,5,5,5,5,5,2,5,2,3
"Responding to 911-police incident reports, similar to what a patrol officer might do",male,,26-35,2,4,4,4,4,5,4,5,4,4,2,4,2,3
Responding to emails at work,male,,18-25,5,5,4,4,4,4,3,3,4,3,3,4,3,1
Responding to emails at work,female,,46-55,4,5,4,2,3,2,5,4,3,2,1,1,1,4
Responding to emails at work,female,,66-75,3,2,4,4,4,2,4,4,4,4,2,5,2,3
Responding to emails at work,male,,46-55,4,5,2,2,2,2,4,3,3,4,4,2,4,2
Responding to emails at work,male,,36-45,4,5,5,4,4,4,5,4,4,5,2,4,1,3
Reviewing a book or a movie,male,,36-45,3,5,5,5,3,3,4,3,3,2,2,5,2,4
Reviewing a book or a movie,female,,26-35,3,3,4,2,4,2,5,4,4,2,2,4,2,3
Reviewing a book or a movie,male,,26-35,5,4,4,4,2,2,5,4,3,2,3,4,3,4
Reviewing a book or a movie,female,,36-45,5,5,5,5,4,2,5,2,4,1,2,3,2,4
Reviewing a book or a movie,male,,46-55,4,5,4,4,4,3,4,3,2,2,3,3,3,3
Scheduling an important business meeting with several co-workers,male,,46-55,1,5,3,2,3,3,4,4,4,4,3,3,3,2
Scheduling an important business meeting with several co-workers,male,,26-35,4,3,2,2,2,2,4,4,4,3,4,2,3,2
Scheduling an important business meeting with several co-workers,male,,36-45,4,3,2,2,1,2,5,4,4,2,4,2,4,2
Scheduling an important business meeting with several co-workers,female,,46-55,5,5,2,4,4,2,4,4,2,2,4,2,3,2
Scheduling an important business meeting with several co-workers,female,,26-35,5,5,5,4,4,2,5,4,3,2,1,4,1,3
Serving food to customers at a restaurant,female,,26-35,4,3,1,1,1,3,4,2,2,2,4,4,4,2
Serving food to customers at a restaurant,female,,18-25,5,5,5,1,4,4,4,5,4,4,3,4,4,3
Serving food to customers at a restaurant,female,,46-55,4,5,5,5,4,2,5,5,5,1,1,5,2,4
Serving food to customers at a restaurant,female,,36-45,2,4,4,2,3,2,4,3,4,1,3,2,4,4
Serving food to customers at a restaurant,male,,36-45,4,5,4,3,2,4,4,5,4,2,2,4,2,4
Serving on jury duty: deciding if a defendant is innocent or guilty,female,,46-55,4,3,4,3,4,3,5,5,4,3,2,2,2,4
Serving on jury duty: deciding if a defendant is innocent or guilty,male,,26-35,4,5,4,2,3,1,4,3,3,4,3,4,3,3
Serving on jury duty: deciding if a defendant is innocent or guilty,female,,46-55,3,3,2,2,4,4,4,3,3,3,4,4,4,1
Serving on jury duty: deciding if a defendant is innocent or guilty,female,,36-45,3,3,5,3,5,2,4,5,2,3,5,5,5,3
Serving on jury duty: deciding if a defendant is innocent or guilty,female,,36-45,4,5,4,2,4,2,4,4,4,5,3,4,3,3
Setting tariffs on goods imported from China,male,,36-45,5,5,4,5,4,5,3,5,3,5,3,5,2,3
Setting tariffs on goods imported from China,female,,26-35,4,3,4,3,4,5,5,5,4,5,2,4,2,3
Setting tariffs on goods imported from China,male,,18-25,3,3,3,3,4,3,4,3,4,3,3,3,3,3
Setting tariffs on goods imported from China,female,,26-35,4,5,1,1,2,2,4,4,3,2,4,4,4,1
Setting tariffs on goods imported from China,female,,46-55,4,4,4,4,4,4,4,4,4,4,2,2,2,3
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",male,,26-35,5,2,4,4,3,3,4,4,3,2,3,3,3,4
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",male,,36-45,4,5,4,4,5,4,4,4,5,4,3,4,3,3
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",male,,26-35,5,4,4,5,4,4,5,4,4,4,2,4,2,4
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",female,,36-45,4,5,5,5,4,3,5,4,2,1,2,3,1,4
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",female,,26-35,3,4,5,5,5,4,5,4,2,3,2,4,1,3
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",male,,26-35,4,5,4,2,2,4,4,2,2,2,4,4,4,3
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",female,,36-45,4,5,5,4,4,4,5,3,4,2,2,4,2,3
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",male,,18-25,4,3,4,2,5,5,3,3,4,4,2,3,3,3
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",female,,56-65,4,2,4,4,4,4,4,3,2,4,2,3,2,4
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",male,,36-45,5,5,4,2,5,5,5,2,4,5,3,4,4,3
"Teaching your child elementary school math (e.g., multiplication, fractions)",male,,26-35,4,5,4,5,5,4,5,4,2,4,3,4,4,3
"Teaching your child elementary school math (e.g., multiplication, fractions)",male,,18-25,5,5,2,2,3,3,5,1,2,3,4,5,2,2
"Teaching your child elementary school math (e.g., multiplication, fractions)",male,,26-35,4,5,4,4,5,5,4,5,4,5,2,5,3,3
"Teaching your child elementary school math (e.g., multiplication, fractions)",female,,36-45,3,5,4,4,3,3,4,4,3,4,2,4,3,3
"Teaching your child elementary school math (e.g., multiplication, fractions)",female,,46-55,4,5,4,4,5,4,5,1,3,2,3,5,2,2
Telling a joke,male,,36-45,4,5,4,5,4,5,4,4,3,4,4,4,4,3
Telling a joke,male,,26-35,4,4,5,4,4,5,5,3,1,2,1,2,3,4
Telling a joke,female,,26-35,4,5,4,4,2,1,5,1,4,1,2,2,3,4
Telling a joke,female,,46-55,3,3,3,3,2,2,5,1,3,1,3,1,1,4
Telling a joke,female,,36-45,3,3,5,4,3,2,3,2,2,1,4,3,3,3
Thinking of conversation topics while hanging out with friends,female,,26-35,5,3,5,5,3,2,5,2,2,2,4,2,2,3
Thinking of conversation topics while hanging out with friends,male,,56-65,3,3,2,4,1,2,4,1,2,2,3,4,3,2
Thinking of conversation topics while hanging out with friends,female,,46-55,3,3,4,4,3,3,5,2,4,1,3,1,3,4
Thinking of conversation topics while hanging out with friends,male,,18-25,4,5,4,4,2,2,3,2,2,2,3,2,3,3
Thinking of conversation topics while hanging out with friends,female,,26-35,5,5,4,4,3,4,4,2,3,3,4,4,4,3
Tracking important moments and information and creating memory aids for elderly people,male,,26-35,5,5,5,5,5,5,5,4,4,3,4,5,4,2
Tracking important moments and information and creating memory aids for elderly people,male,,26-35,4,2,5,4,4,3,2,4,2,3,2,4,2,3
Tracking important moments and information and creating memory aids for elderly people,female,,26-35,2,5,4,3,4,4,4,4,3,4,2,4,3,3
Tracking important moments and information and creating memory aids for elderly people,male,,56-65,3,5,3,4,4,4,4,4,4,4,2,4,2,3
Tracking important moments and information and creating memory aids for elderly people,male,,26-35,4,4,5,5,5,4,5,3,1,1,2,5,5,2
Translating an article you'd like to read from a foreign language to English,female,,26-35,4,5,2,1,1,2,4,2,2,2,5,2,5,1
Translating an article you'd like to read from a foreign language to English,female,,46-55,1,3,2,4,4,4,4,4,3,3,4,3,3,2
Translating an article you'd like to read from a foreign language to English,male,,26-35,5,5,1,1,5,2,4,2,1,1,5,1,5,1
Translating an article you'd like to read from a foreign language to English,male,,36-45,5,5,2,2,3,3,5,4,3,3,4,1,3,1
Translating an article you'd like to read from a foreign language to English,female,,36-45,3,4,2,2,2,3,5,2,1,1,5,2,3,4
Voting in federal elections,male,,36-45,3,4,1,1,2,2,1,3,4,4,1,4,2,3
Voting in federal elections,female,,46-55,1,3,2,2,2,2,4,3,2,4,2,4,3,3
Voting in federal elections,female,,18-25,4,3,5,4,5,4,5,3,4,3,4,5,4,3
Voting in federal elections,female,,26-35,4,5,3,2,2,1,5,4,2,4,2,3,2,4
Voting in federal elections,male,,36-45,5,3,1,1,1,1,5,1,1,1,1,1,1,3
Walking your dog,male,,36-45,3,5,2,2,2,2,4,5,2,4,4,4,4,2
Walking your dog,male,,26-35,3,5,4,4,3,4,3,4,3,3,4,4,3,1
Walking your dog,female,,18-25,5,3,3,2,3,4,4,5,5,4,1,4,1,4
Walking your dog,female,,26-35,4,5,2,1,3,2,4,3,2,2,3,4,3,3
Walking your dog,female,,36-45,4,5,3,1,1,2,4,4,2,3,4,4,3,3
Writing a birthday card to your mother,female,,26-35,5,4,2,4,2,2,3,1,1,1,3,3,3,4
Writing a birthday card to your mother,male,,36-45,5,5,5,4,1,1,5,1,1,1,4,5,3,3
Writing a birthday card to your mother,male,,56-65,5,5,5,5,5,5,5,5,5,4,5,5,5,3
Writing a birthday card to your mother,male,,56-65,4,5,4,5,3,3,5,3,3,4,3,4,3,3
Writing a birthday card to your mother,male,,36-45,4,5,4,4,2,1,5,2,2,2,4,3,3,3
Writing a blog post,male,,26-35,4,5,1,1,1,1,1,1,1,1,5,5,5,1
Writing a blog post,male,,18-25,4,2,4,5,4,2,5,5,4,2,2,3,2,3
Writing a blog post,male,,26-35,4,5,4,4,3,3,5,3,1,1,1,4,1,4
Writing a blog post,female,,26-35,5,5,4,4,4,4,4,4,4,3,4,3,4,1
Writing a blog post,female,,18-25,4,5,4,5,4,2,4,4,3,4,2,4,2,3
Writing a novel or a short story (creative writing),female,,26-35,4,4,5,5,5,4,5,5,4,4,2,4,2,4
Writing a novel or a short story (creative writing),male,,26-35,4,3,1,5,5,4,5,4,3,2,1,4,1,4
Writing a novel or a short story (creative writing),female,,36-45,3,5,2,4,4,2,4,3,2,1,3,3,3,3
Writing a novel or a short story (creative writing),female,,46-55,3,5,2,4,5,2,2,3,4,2,4,4,4,4
Writing a novel or a short story (creative writing),female,,36-45,4,5,4,5,5,3,4,2,2,2,2,2,2,3
